Case : 12300, Assigments : 116735313, Comparisons : 75635847
Case : 12400, Assigments : 119303283, Comparisons : 76870797
Case : 12500, Assigments : 120252825, Comparisons : 78115747
Case : 12600, Assigments : 123448959, Comparisons : 79373595
Case : 12700, Assigments : 125241333, Comparisons : 80637789
Case : 12800, Assigments : 127126080, Comparisons : 81910597
Case : 12900, Assigments : 128287644, Comparisons : 83197560
Case : 13000, Assigments : 130677264, Comparisons : 84490497
Case : 13100, Assigments : 132792606, Comparisons : 85795447
Case : 13200, Assigments : 133786044, Comparisons : 87110397
Case : 13300, Assigments : 135977268, Comparisons : 88435347
Case : 13400, Assigments : 137371845, Comparisons : 89770297
Case : 13500, Assigments : 139890837, Comparisons : 91117899
Case : 13700, Assigments : 146833293, Comparisons : 93833779
Case : 13800, Assigments : 148338753, Comparisons : 95212847
Case : 13900, Assigments : 150767634, Comparisons : 96593679
Case : 14000, Assigments : 153076617, Comparisons : 97988629
Case : 14100, Assigments : 155296950, Comparisons : 99393579
Case : 14200, Assigments : 158427102, Comparisons : 100808529
Case : 14300, Assigments : 161151300, Comparisons : 102233479
Case : 14400, Assigments : 160789566, Comparisons : 103670655
Case : 14500, Assigments : 164360457, Comparisons : 105113379
Case : 14600, Assigments : 167450094, Comparisons : 106568329
Case : 14700, Assigments : 169295112, Comparisons : 108033279
Case : 14800, Assigments : 169625880, Comparisons : 109508229
Case : 14900, Assigments : 172734522, Comparisons : 110993179
Case : 15000, Assigments : 175291566, Comparisons : 112488129
Case : 15100, Assigments : 177775998, Comparisons : 113993079
Case : 15200, Assigments : 180161319, Comparisons : 115509625
Case : 15400, Assigments : 185011422, Comparisons : 118553579
Case : 15500, Assigments : 187210221, Comparisons : 120089989
Case : 15600, Assigments : 190023984, Comparisons : 121670055
Case : 15700, Assigments : 191452782, Comparisons : 123226997
Case : 15800, Assigments : 193424676, Comparisons : 124795447
Case : 15900, Assigments : 197091312, Comparisons : 126384170
Case : 16000, Assigments : 199736496, Comparisons : 127983222
Case : 16100, Assigments : 200482701, Comparisons : 129590047
Case : 16200, Assigments : 205361823, Comparisons : 131206014
Case : 16300, Assigments : 206081022, Comparisons : 132824760
Case : 16400, Assigments : 208802946, Comparisons : 134466547
Case : 16500, Assigments : 211001235, Comparisons : 136089489
Case : 16600, Assigments : 211669362, Comparisons : 137744439
Case : 16700, Assigments : 215472831, Comparisons : 139409389
Case : 16800, Assigments : 217434735, Comparisons : 141084339
Case : 16900, Assigments : 220783092, Comparisons : 142780974
Case : 17100, Assigments : 225785103, Comparisons : 146139834
Case : 17200, Assigments : 226904934, Comparisons : 147854784
Case : 17300, Assigments : 230074320, Comparisons : 149579734
Case : 17400, Assigments : 231518310, Comparisons : 151341897
Case : 17500, Assigments : 236053827, Comparisons : 153059634
Case : 17600, Assigments : 238877751, Comparisons : 154833799
Case : 17700, Assigments : 240662844, Comparisons : 156611840
Case : 17800, Assigments : 243577929, Comparisons : 158403840
Case : 17900, Assigments : 247974639, Comparisons : 160169715
Case : 18000, Assigments : 250226610, Comparisons : 161965349
Case : 18100, Assigments : 253048086, Comparisons : 163747122
Case : 18200, Assigments : 255468207, Comparisons : 165587247
Case : 18300, Assigments : 256811388, Comparisons : 167396229
Case : 18400, Assigments : 261849606, Comparisons : 169254329
Case : 18500, Assigments : 264442929, Comparisons : 171112429
Case : 18600, Assigments : 268332369, Comparisons : 172965344
Case : 18800, Assigments : 270768285, Comparisons : 176689279
Case : 18900, Assigments : 274983072, Comparisons : 178589879
Case : 19000, Assigments : 277385658, Comparisons : 180480347
Case : 19100, Assigments : 280350339, Comparisons : 182392210
Case : 19200, Assigments : 285449232, Comparisons : 184307160
Case : 19300, Assigments : 287698590, Comparisons : 186232110
Case : 19400, Assigments : 291824196, Comparisons : 188167060
Case : 19500, Assigments : 294524649, Comparisons : 190112010
Case : 19600, Assigments : 297634863, Comparisons : 192066960
Case : 19700, Assigments : 298480905, Comparisons : 194031910
Case : 19800, Assigments : 304611048, Comparisons : 196006860
Case : 19900, Assigments : 308303094, Comparisons : 197991810
Case : 20000, Assigments : 309797631, Comparisons : 199986760
Case : 20100, Assigments : 313959492, Comparisons : 201991710
Case : 20200, Assigments : 316870635, Comparisons : 204009339
Case : 20300, Assigments : 319938678, Comparisons : 206031610
Case : 20500, Assigments : 325150005, Comparisons : 210107124
Case : 20600, Assigments : 332062467, Comparisons : 212092672
Case : 20700, Assigments : 335930901, Comparisons : 214191872
Case : 20800, Assigments : 337469058, Comparisons : 216291072
Case : 20900, Assigments : 340204653, Comparisons : 218390272
Case : 21000, Assigments : 345044841, Comparisons : 220474449
Case : 21100, Assigments : 346714107, Comparisons : 222546864
Case : 21200, Assigments : 351446460, Comparisons : 224687664
Case : 21300, Assigments : 353507412, Comparisons : 226828464
Case : 21400, Assigments : 357030096, Comparisons : 228936660
Case : 21500, Assigments : 361815696, Comparisons : 231102160
Case : 21600, Assigments : 363248631, Comparisons : 233239065
Case : 21700, Assigments : 367105956, Comparisons : 235386255
Case : 21800, Assigments : 371236965, Comparisons : 237587155
Case : 21900, Assigments : 374225700, Comparisons : 239753295
Case : 22000, Assigments : 378687861, Comparisons : 241971795
Case : 22200, Assigments : 385147113, Comparisons : 246398460
Case : 22300, Assigments : 390899667, Comparisons : 248593947
Case : 22400, Assigments : 393185262, Comparisons : 250852147
Case : 22500, Assigments : 396219171, Comparisons : 253086954
Case : 22600, Assigments : 401609952, Comparisons : 255360054
Case : 22700, Assigments : 404904081, Comparisons : 257591455
Case : 22800, Assigments : 411027249, Comparisons : 259857879
Case : 22900, Assigments : 411881076, Comparisons : 262169679
Case : 23000, Assigments : 417868854, Comparisons : 264481479
Case : 23100, Assigments : 421949766, Comparisons : 266763069
Case : 23200, Assigments : 423275856, Comparisons : 269097669
Case : 23300, Assigments : 428691867, Comparisons : 271417060
Case : 23400, Assigments : 430822545, Comparisons : 273740097
Case : 23500, Assigments : 436119552, Comparisons : 276103797
Case : 23600, Assigments : 439756995, Comparisons : 278459289
Case : 23700, Assigments : 444298695, Comparisons : 280803015
Case : 23900, Assigments : 452232891, Comparisons : 285583039
Case : 24000, Assigments : 455676138, Comparisons : 287977989
Case : 24100, Assigments : 459897990, Comparisons : 290382939
Case : 24200, Assigments : 464037312, Comparisons : 292797889
Case : 24300, Assigments : 464762067, Comparisons : 295226064
Case : 24400, Assigments : 472130022, Comparisons : 297657789
Case : 24500, Assigments : 476197344, Comparisons : 300102739
Case : 24600, Assigments : 477278103, Comparisons : 302557689
Case : 24700, Assigments : 482302695, Comparisons : 305022639
Case : 24800, Assigments : 488452842, Comparisons : 307497589
Case : 24900, Assigments : 491966286, Comparisons : 309982539
Case : 25000, Assigments : 494495970, Comparisons : 312477489
Case : 25100, Assigments : 499732089, Comparisons : 314982439
Case : 25200, Assigments : 503112372, Comparisons : 317504844
Case : 25300, Assigments : 508858380, Comparisons : 320022339
Case : 25400, Assigments : 510612567, Comparisons : 322557289
Case : 25600, Assigments : 522174183, Comparisons : 327648285
Case : 25700, Assigments : 523839462, Comparisons : 330227685
Case : 25800, Assigments : 527990955, Comparisons : 332803614
Case : 25900, Assigments : 534254880, Comparisons : 335385029
Case : 26000, Assigments : 536061519, Comparisons : 337968855
Case : 26100, Assigments : 540551196, Comparisons : 340547399
Case : 26200, Assigments : 544320714, Comparisons : 343187199
Case : 26300, Assigments : 552038553, Comparisons : 345826999
Case : 26400, Assigments : 552245613, Comparisons : 348455774
Case : 26500, Assigments : 556584087, Comparisons : 351110574
Case : 26600, Assigments : 562385271, Comparisons : 353761029
Case : 26700, Assigments : 567332052, Comparisons : 356394794
Case : 26800, Assigments : 572766198, Comparisons : 359091894
Case : 26900, Assigments : 574833348, Comparisons : 361767460
Case : 27000, Assigments : 578665797, Comparisons : 364479360
Case : 27100, Assigments : 583185834, Comparisons : 367176572
Case : 27300, Assigments : 589224639, Comparisons : 372625134
Case : 27400, Assigments : 596157264, Comparisons : 375366234
Case : 27500, Assigments : 598855584, Comparisons : 378090949
Case : 27600, Assigments : 601360407, Comparisons : 380861049
Case : 27700, Assigments : 606591564, Comparisons : 383630289
Case : 27800, Assigments : 612072813, Comparisons : 386390347
Case : 27900, Assigments : 618322428, Comparisons : 389188047
Case : 28000, Assigments : 619253712, Comparisons : 391942340
Case : 28100, Assigments : 622813113, Comparisons : 394771840
Case : 28200, Assigments : 626830608, Comparisons : 397586985
Case : 28300, Assigments : 633486165, Comparisons : 400426385
Case : 28400, Assigments : 635592822, Comparisons : 403231609
Case : 28500, Assigments : 640852392, Comparisons : 406069709
Case : 28600, Assigments : 647546085, Comparisons : 408948309
Case : 28700, Assigments : 648110136, Comparisons : 411776694
Case : 28800, Assigments : 652118016, Comparisons : 414679494
Case : 29000, Assigments : 666376149, Comparisons : 420478240
Case : 29100, Assigments : 671444811, Comparisons : 423388104
Case : 29200, Assigments : 676701009, Comparisons : 426298140
Case : 29300, Assigments : 678941025, Comparisons : 429228520
Case : 29400, Assigments : 685057194, Comparisons : 432158040
Case : 29500, Assigments : 686580069, Comparisons : 435102990
Case : 29600, Assigments : 691026945, Comparisons : 438061459
Case : 29700, Assigments : 696348879, Comparisons : 441023480
Case : 29800, Assigments : 703354935, Comparisons : 443997840
Case : 29900, Assigments : 706644483, Comparisons : 446986810
Case : 30000, Assigments : 710511240, Comparisons : 449977740
Case : 30100, Assigments : 715877139, Comparisons : 452985099
Case : 30200, Assigments : 719409924, Comparisons : 455997640
Case : 30300, Assigments : 726312780, Comparisons : 459026769
Case : 30400, Assigments : 725270190, Comparisons : 462057540
Case : 30500, Assigments : 733980996, Comparisons : 465102490
Case : 30700, Assigments : 739597020, Comparisons : 471221900
Case : 30800, Assigments : 744278337, Comparisons : 474296850
Case : 30900, Assigments : 749437980, Comparisons : 477388172
Case : 31000, Assigments : 757022190, Comparisons : 480476750
Case : 31100, Assigments : 757024713, Comparisons : 483581700
Case : 31200, Assigments : 762557424, Comparisons : 486696650
Case : 31300, Assigments : 772986222, Comparisons : 489821600
Case : 31400, Assigments : 776106210, Comparisons : 492956550
Case : 31500, Assigments : 777704736, Comparisons : 496101500
Case : 31600, Assigments : 776317035, Comparisons : 499256450
Case : 31700, Assigments : 783001590, Comparisons : 502421400
Case : 31800, Assigments : 790853823, Comparisons : 505596350
Case : 31900, Assigments : 794857002, Comparisons : 508788585
Case : 32000, Assigments : 800950851, Comparisons : 511983649
Case : 32100, Assigments : 806064687, Comparisons : 515181200
Case : 32200, Assigments : 807029184, Comparisons : 518402772
Case : 32400, Assigments : 821056872, Comparisons : 524849772
Case : 32500, Assigments : 825660609, Comparisons : 528106472
Case : 32600, Assigments : 831158799, Comparisons : 531342585
Case : 32700, Assigments : 834540201, Comparisons : 534608147
Case : 32800, Assigments : 840882051, Comparisons : 537898347
Case : 32900, Assigments : 845404203, Comparisons : 541167435
Case : 33000, Assigments : 852247791, Comparisons : 544462385
Case : 33100, Assigments : 855576141, Comparisons : 547767335
Case : 33200, Assigments : 858025776, Comparisons : 551082285
